               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,            0.021628,            0.011342,                   0,             0.89214,             0.89738,              0.9045,             0.67955,             0.02069,           0.0052142,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.021745,            0.011237,                   0,             0.89122,              0.8969,             0.90387,             0.67932,             0.02067,           0.0052171,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.021252,            0.011174,                   0,               0.888,             0.89892,             0.90367,             0.68092,            0.020638,            0.005221,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.021215,            0.010867,                   0,             0.88583,             0.89925,              0.9035,              0.6813,            0.020624,           0.0052233,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.021932,             0.01113,                   0,             0.88307,             0.90027,             0.90375,             0.68291,            0.020609,           0.0052294,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.021377,             0.01104,                   0,             0.88182,             0.90027,              0.9038,             0.68318,            0.020592,           0.0052298,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.020932,            0.011002,                   0,             0.88703,             0.89421,             0.90388,             0.68289,             0.02058,           0.0052369,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.021432,            0.011093,                   0,             0.89124,             0.88949,             0.90377,             0.68302,            0.020562,           0.0052398,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.021096,            0.010939,                   0,             0.89002,             0.88949,             0.90411,             0.68344,            0.020561,           0.0052428,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.020994,            0.010912,                   0,             0.89151,             0.89153,              0.9046,              0.6838,            0.020565,           0.0052451,                   0,            0.004522,            0.004522,            0.004522
